Zone géographique,Entreprise,Sous-catégorie,ID commande,Nom du client,Région,Nom du produit,Mode d'expédition,Pays,Remise,Grand public,Taux de remise,Catégorie,ID produit,Date d'expédition,Quantité,Profit,ID,Vente,Date de commande,ID client,Ville,Entreprise individuelle
Sud,1,Art,ES-2011-4862124,Bruce Rochefort,Toscane,"BIC Surligneurs, Métal",Prioritaire,Italie,0,0,TR1,Fournitures de bureau,FOU-AR-10002937,22-Dec-14,2,13.32,3870,40.38,21-Dec-14,BR-11965,Carrare,0
Centre,1,Art,ES-2011-2613634,Noria Perrault,Tyrol,"Sanford Carnet de croquis, Emballage en vrac",Tarif normal,Autriche,0,0,TR1,Fournitures de bureau,FOU-AR-10001329,16-Sep-14,3,63.09,9807,137.25,09-Sep-14,NP-18295,Innsbruck,0
Centre,1,Classeurs,ES-2011-3540276,Alexandrie Lanctot,Berlin,"Cardinal Couverture de classeur, Recyclé",Tarif normal,Allemagne,0.1,0,TR1,Fournitures de bureau,FOU-CL-10003973,12-Jun-14,5,21.57,170,55.62,08-Jun-14,AL-10405,Berlin,0
Centre,0,Classeurs,IT-2011-1181278,Pépin Lagacé,Basse-Saxe,"Avery Couverture de classeur, Clair",Le même jour,Allemagne,0.5,0,TR2,Fournitures de bureau,FOU-CL-10001681,10-Feb-14,5,-14.325,9425,26.325,10-Feb-14,PL-18925,Hanovre,1
Centre,1,Classeurs,ES-2011-3540276,Alexandrie Lanctot,Berlin,"Avery Onglets, Clair",Tarif normal,Allemagne,0.1,0,TR1,Fournitures de bureau,FOU-CL-10002858,12-Jun-14,2,1.962,168,10.422,08-Jun-14,AL-10405,Berlin,0
Nord,0,Enveloppes,ES-2011-2087720,Céline Saindon,Angleterre,"Cameo Enveloppe interservices, Livré par 50",Tarif normal,Royaume-Uni,0,1,TR1,Fournitures de bureau,FOU-EN-10002791,19-Aug-14,4,68.28,5305,189.72,12-Aug-14,CS-12415,Sunderland,0
Sud,1,Téléphones,ES-2011-3729382,Blanche Benoit,Pouilles,"Nokia Amplificateur de signal, Emballage en vrac",J+2,Italie,0.4,0,TR2,Produits technologiques,PRO-TÉ-10002052,08-Dec-14,3,-49.248,6975,245.862,06-Dec-14,BB-11815,Foggia,0
Centre,0,Éléments de fixation,ES-2011-1868803,Campanule Quenneville,Rhénanie-du-Nord-Westphalie,"Advantus Élastiques, Tailles assorties",J+2,Allemagne,0,1,TR1,Fournitures de bureau,FOU-ÉL-10000712,25-Jun-14,8,24.48,4202,112.32,22-Jun-14,CQ-12130,Hagen,0
Centre,0,Téléphones,IT-2011-5361439,Thérèse Paquin,Vaud,"Samsung Téléphone de bureau, Tailles assorties",Tarif normal,Suisse,0,1,TR1,Produits technologiques,PRO-TÉ-10000372,26-Aug-14,3,30.6,6545,204.21,21-Aug-14,TP-21010,Lausanne,0
Centre,1,Papier,ES-2011-2613634,Noria Perrault,Tyrol,"Enermax Organiseur, Qualité supérieure",Tarif normal,Autriche,0,0,TR1,Fournitures de bureau,FOU-PA-10003611,16-Sep-14,2,1.8,9806,45,09-Sep-14,NP-18295,Innsbruck,0
Nord,1,Fournitures,ES-2011-2410472,Tristan Mazuret,Uusimaa,"Elite Rasoir, Acier",Le même jour,Finlande,0,0,TR1,Fournitures de bureau,FOU-FO-10004240,20-Jul-14,3,60.3,2930,123.21,20-Jul-14,TM-21235,Vantaa,0
Centre,0,Stockage,IT-2011-3977380,Charlot Cyr,Rhénanie-du-Nord-Westphalie,"Smead Casiers, Métal",Tarif normal,Allemagne,0.1,1,TR1,Fournitures de bureau,FOU-ST-10003956,25-Dec-14,7,-13.923,4452,1244.187,21-Dec-14,CC-12595,Dortmund,0
Sud,1,Bibliothèques,ES-2011-2729747,Matthieu Houle,Catalogne,"Ikea Armoire, Noir",Tarif normal,Espagne,0,0,TR1,Mobilier,MOB-BI-10001272,02-May-14,5,21.45,7177,718.95,27-Apr-14,MH-17590,Rubí,0
Centre,1,Étiquettes,ES-2011-2009539,Yvon Joly,Provence-Alpes-Côte d'Azur,"Avery Étiquettes d'expédition, Durable",J+2,France,0,0,TR1,Fournitures de bureau,FOU-ÉT-10004943,01-Jan-15,3,13.95,4764,36.72,28-Dec-14,YJ-21895,Aix-en-Provence,0
Centre,0,Art,ES-2011-5941122,Marlon Ayot,Hambourg,"Boston Stylos, Emballage en vrac",Tarif normal,Allemagne,0,0,TR1,Fournitures de bureau,FOU-AR-10000306,08-Nov-14,1,4.77,1177,14.49,02-Nov-14,MA-17290,Hambourg,1
Centre,1,Stockage,ES-2011-5752766,Muse Marchesseault,Flandre-Occidentale,"Rogers Casiers, Industriel",Tarif normal,Belgique,0,0,TR1,Fournitures de bureau,FOU-ST-10004544,18-Jul-14,2,161.16,5759,424.2,14-Jul-14,MM-18010,Bruges,0
Centre,1,Art,ES-2011-1290469,Noria Perrault,Nord-Pas-de-Calais-Picardie,"Boston Marqueurs, Tailles assorties",J+2,France,0,0,TR1,Fournitures de bureau,FOU-AR-10000415,20-Nov-14,1,0,8809,29.55,16-Nov-14,NP-18295,Calais,0
Centre,0,Machines,ES-2011-2379967,Zara Aucoin,Brême,"Konica Calculatrice, Rouge",J+2,Allemagne,0,1,TR1,Produits technologiques,PRO-MA-10002259,24-Nov-14,2,38.04,2093,97.56,22-Nov-14,ZA-21925,Brême,0
Centre,0,Téléphones,ES-2011-5610862,Josette Richard,Rhénanie-du-Nord-Westphalie,"Samsung Chargeur, Tailles assorties",Prioritaire,Allemagne,0,1,TR1,Produits technologiques,PRO-TÉ-10003500,30-Mar-14,1,44.73,7500,639,29-Mar-14,JR-16180,Hamm,0
Centre,0,Meubles,IT-2011-3203475,Aurélie Echeverri,Hollande-Septentrionale,"Advantus Cadre, Noir",Tarif normal,Pays-Bas,0.2,1,TR1,Mobilier,MOB-ME-10000597,04-Mar-14,6,-0.144000000,4415,533.376,26-Feb-14,AE-11425,Zaanstad,0
Sud,0,Enveloppes,ES-2011-2972550,Philip Huppé,Calabre,"Cameo Enveloppe professionnelle, Recyclé",Tarif normal,Italie,0,0,TR1,Fournitures de bureau,FOU-EN-10001874,30-Aug-14,3,21.24,8266,47.25,25-Aug-14,PH-19000,Crotone,1
Centre,0,Art,ES-2011-3366039,Serge Gilbert,Normandie,"Boston Stylos, Bleu",Prioritaire,France,0,1,TR1,Fournitures de bureau,FOU-AR-10004722,28-May-14,3,0.81,4651,42.66,26-May-14,SG-20395,Lisieux,0
Centre,0,Bibliothèques,ES-2011-4436456,Gemma Royer,Alsace-Champagne-Ardenne-Lorraine,"Safco Bibliothèque, Classique",Le même jour,France,0.6,1,TR2,Mobilier,MOB-BI-10002377,26-Jan-14,2,-143.076,9527,119.184,26-Jan-14,GR-15025,Reims,0
Centre,0,Classeurs,ES-2011-4106405,Methena Migneault,Berlin,"Acco Perforatrice, Économique",Tarif normal,Allemagne,0.1,1,TR1,Fournitures de bureau,FOU-CL-10003491,01-Oct-14,5,13.44,1689,135.54,27-Sep-14,MM-17830,Berlin,0
Nord,0,Téléphones,ES-2011-3642330,Hedvige Bourque,Angleterre,"Cisco Casque, Taille réelle",Prioritaire,Royaume-Uni,0.1,1,TR1,Produits technologiques,PRO-TÉ-10004400,04-Feb-14,2,43.014,7047,161.514,02-Feb-14,HB-15580,Londres,0
Centre,0,Chaises,ES-2011-1455810,Virginie Hughes,Île-de-France,"Office Star Rocking chair, Rouge",Tarif normal,France,0.1,0,TR1,Mobilier,MOB-CH-10002500,11-Jun-14,1,43.659,8043,126.819,07-Jun-14,VH-21700,Drancy,1
Sud,0,Tables,ES-2011-4052630,Zara Aucoin,Lombardie,"Barricks Table ronde, Noir",Tarif normal,Italie,0.5,1,TR2,Mobilier,MOB-TA-10000696,26-Feb-14,4,-942.9,8378,1003.02,21-Feb-14,ZA-21925,Milan,0
Centre,0,Classeurs,ES-2011-5585896,Lorie Benoit,Aquitaine-Limousin-Poitou-Charentes,"Cardinal Classeur, Clair",Tarif normal,France,0,1,TR1,Fournitures de bureau,FOU-CL-10000504,08-Aug-14,5,1.95,3502,66.45,03-Aug-14,LB-16660,Biarritz,0
Nord,0,Machines,IT-2011-1111988,Yves Ouellet,Hovedstaden,"StarTech Imprimante, Durable",Tarif normal,Danemark,0.5,1,TR2,Produits technologiques,PRO-MA-10004583,10-Dec-14,5,-538.275,5283,640.725,05-Dec-14,YO-21865,Copenhague,0
Nord,0,Électroménager,IT-2011-3667641,Xavierre Racine,Dublin,"Breville Grille-pain, Rouge",Tarif normal,Irlande,0.5,1,TR2,Fournitures de bureau,FOU-ÉL-10002318,21-May-14,3,-39.195,5578,115.065,16-May-14,XR-21850,Dublin,0
Nord,1,Téléphones,ES-2011-1822857,Verrill Migneault,Angleterre,"Nokia Chargeur, Bleu",Tarif normal,Royaume-Uni,0,0,TR1,Produits technologiques,PRO-TÉ-10001608,20-Jun-14,2,546.96,3562,1272.12,14-Jun-14,VM-21565,Farnborough,0
Nord,0,Téléphones,ES-2011-4806518,Barry Lafontaine,Angleterre,"Motorola Téléphone de bureau, Taille réelle",Tarif normal,Royaume-Uni,0,0,TR1,Produits technologiques,PRO-TÉ-10003206,24-Jun-14,1,23.37,9613,73.05,20-Jun-14,BL-11560,Mansfield,1
Centre,0,Bibliothèques,IT-2011-3513943,Dexter Collin,Rhénanie-du-Nord-Westphalie,"Sauder Étagère d'angle, Classique",Tarif normal,Allemagne,0.1,1,TR1,Mobilier,MOB-BI-10003160,14-Dec-14,3,-13.32,1927,397.71,10-Dec-14,DC-13405,Moers,0
Nord,1,Meubles,IT-2011-5233011,Vallis Duval,Västra Götaland,"Advantus Cadre photo, Durable",Tarif normal,Suède,0.6,0,TR2,Mobilier,MOB-ME-10003029,06-Apr-14,2,-44.052,5482,40.008,31-Mar-14,VD-21370,Gothembourg,0
Sud,0,Chaises,IT-2011-3784375,Cindy Moquin,Piémont,"SAFCO Chaise pliante, Livré par deux",J+2,Italie,0.6,1,TR2,Mobilier,MOB-CH-10002907,16-Dec-14,6,-89.856,9684,211.104,13-Dec-14,CM-12865,Turin,0
Centre,0,Stockage,IT-2011-5348771,Susanne Pomerleau,Île-de-France,"Eldon Rayonnage, Taille réelle",Tarif normal,France,0.1,1,TR1,Fournitures de bureau,FOU-ST-10003528,05-Dec-14,9,-43.605,2821,392.445,01-Dec-14,SP-20725,Paris,0
Centre,0,Art,ES-2011-2566881,Félicien Brault,Île-de-France,"Stanley Taille-crayon, Métal",Le même jour,France,0,1,TR1,Fournitures de bureau,FOU-AR-10003949,21-Aug-14,5,44.25,3784,130.2,21-Aug-14,FB-14305,Noisy-le-Grand,0
Sud,1,Accessoires,IT-2011-2051710,Dexter Quenneville,Émilie-Romagne,"SanDisk Clé USB, Durable",J+2,Italie,0,0,TR1,Produits technologiques,PRO-AC-10004435,21-Nov-14,4,6.36,7915,159,19-Nov-14,DQ-13420,Bologne,0
Centre,0,Meubles,IT-2011-5361439,Thérèse Paquin,Vaud,"Advantus Cadre photo, Noir",Tarif normal,Suisse,0,1,TR1,Mobilier,MOB-ME-10001093,26-Aug-14,5,2.55,6543,264.9,21-Aug-14,TP-21010,Lausanne,0
Centre,0,Art,ES-2011-3142386,Marcel Sevier,Hambourg,"Boston Stylos, Métal",Le même jour,Allemagne,0,1,TR1,Fournitures de bureau,FOU-AR-10003623,06-Dec-14,3,7.83,9269,46.44,06-Dec-14,MS-17110,Hambourg,0
